  44.98
 613.00
 913874993
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31104.00	0.00	230.07	0.00	-8.27	-8.27	236.42
1980 01 02 12	31109.08	0.00	222.42	0.00	-5.78	-5.78	302.52
1980 01 03 12	31199.30	0.00	222.37	0.00	-9.75	-9.75	175.06
1980 01 04 12	31332.34	0.00	239.40	0.00	-12.87	-12.87	128.13
1980 01 05 12	31448.96	0.00	220.21	0.00	-11.83	-11.83	125.94
1980 01 06 12	31449.60	1.00	238.58	0.00	-13.49	-13.49	134.08
1980 01 07 12	31449.60	1.24	115.12	0.00	-8.82	-8.82	253.42
1980 01 08 12	31544.90	1.45	132.89	0.00	-4.59	-4.59	333.70
1980 01 09 12	31744.74	0.00	194.00	0.00	-7.23	-7.23	226.36
1980 01 10 12	31795.20	0.02	201.05	0.00	-10.49	-10.49	164.35
1980 01 11 12	31795.20	1.19	82.28	0.00	-6.76	-6.76	324.25
1980 01 12 12	31828.31	16.53	165.31	0.00	0.58	0.58	560.51
1980 01 13 12	32090.34	0.38	225.09	0.00	-10.44	-10.44	120.29
1980 01 14 12	32140.80	2.82	103.11	0.00	-3.20	-3.20	350.39
1980 01 15 12	32140.80	1.89	223.33	0.00	1.62	1.62	616.62
1980 01 16 12	32298.25	0.00	256.03	0.00	-5.65	-5.65	244.22
1980 01 17 12	32486.40	0.00	194.02	0.00	-6.56	-6.56	251.69
1980 01 18 12	32486.40	0.42	156.92	0.00	-1.71	-1.71	477.02
1980 01 19 12	32643.85	0.01	139.02	0.00	0.28	0.28	551.45
1980 01 20 12	32832.00	0.09	194.88	0.00	-3.82	-3.82	311.15
1980 01 21 12	32832.00	0.51	153.13	0.00	-12.32	-12.32	113.99
1980 01 22 12	32989.45	0.51	181.75	0.00	-12.28	-12.28	126.44
1980 01 23 12	33177.60	5.43	153.35	0.00	-5.19	-5.19	381.39
1980 01 24 12	33177.60	0.16	198.33	0.00	-12.12	-12.12	196.02
1980 01 25 12	33472.74	0.00	276.80	0.00	-17.04	-17.04	116.75
1980 01 26 12	33523.20	0.00	273.67	0.00	-13.76	-13.76	163.04
1980 01 27 12	33556.31	0.00	282.85	0.00	-9.82	-9.82	225.75
1980 01 28 12	33868.80	0.00	200.84	0.00	-9.95	-9.95	218.44
1980 01 29 12	33868.80	0.00	293.00	0.00	-12.86	-12.86	165.04
1980 01 30 12	34163.94	0.00	221.14	0.00	-16.95	-16.95	109.41
1980 01 31 12	34214.40	0.00	181.13	0.00	-17.24	-17.24	110.01
1980 02 01 12	34309.70	0.00	224.46	0.00	-15.62	-15.62	137.12
1980 02 02 12	34560.00	0.00	272.90	0.00	-16.78	-16.78	120.55
1980 02 03 12	34565.08	0.00	250.47	0.00	-15.87	-15.87	136.13
1980 02 04 12	34905.60	0.00	184.22	0.00	-13.20	-13.20	172.75
1980 02 05 12	34905.60	0.00	132.52	0.00	-12.08	-12.08	189.50
1980 02 06 12	35250.56	0.00	263.27	0.00	-8.34	-8.34	259.36
1980 02 07 12	35251.20	0.00	301.81	0.00	-7.34	-7.34	256.14
1980 02 08 12	35587.59	0.00	316.20	0.00	-7.81	-7.81	267.21
1980 02 09 12	35596.80	0.00	341.44	0.00	-9.38	-9.38	240.15
1980 02 10 12	35891.94	0.09	330.22	0.00	-10.19	-10.19	214.43
1980 02 11 12	35942.40	0.31	313.78	0.00	-9.42	-9.42	215.86
1980 02 12 12	36170.73	0.06	219.92	0.00	-7.04	-7.04	253.07
1980 02 13 12	36288.00	0.01	275.18	0.00	-7.31	-7.31	225.40
1980 02 14 12	36516.34	0.00	141.23	0.00	-6.61	-6.61	271.31
1980 02 15 12	36633.60	0.59	292.97	0.00	-7.97	-7.97	236.74
1980 02 16 12	36861.94	9.42	256.08	0.00	-9.21	-9.21	249.16
1980 02 17 12	36979.20	2.40	243.43	0.00	-11.03	-11.03	214.95
1980 02 18 12	37274.34	0.00	318.04	0.00	-11.68	-11.68	182.51
1980 02 19 12	37324.80	0.00	314.12	0.00	-7.38	-7.38	258.86
1980 02 20 12	37661.19	0.00	346.52	0.00	-2.38	-2.38	369.72
1980 02 21 12	37670.40	0.00	218.18	0.00	-2.03	-2.03	436.14
1980 02 22 12	38015.36	0.70	340.40	0.00	-10.83	-10.83	190.23
1980 02 23 12	38016.00	9.30	226.71	0.00	-5.65	-5.65	352.84
1980 02 24 12	38361.60	0.17	119.83	0.00	-4.90	-4.90	373.50
1980 02 25 12	38361.60	1.06	227.22	0.00	-3.18	-3.18	378.77
1980 02 26 12	38707.20	0.00	334.53	0.00	-9.69	-9.69	204.56
1980 02 27 12	38707.20	0.00	248.07	0.00	-16.41	-16.41	121.94
1980 02 28 12	39052.80	1.37	134.24	0.00	-10.52	-10.52	227.77
1980 02 29 12	39052.80	0.68	294.82	0.00	-14.36	-14.36	163.91
1980 03 01 12	39398.40	0.00	451.40	0.00	-18.21	-18.21	100.01
1980 03 02 12	39431.50	0.00	461.06	0.00	-17.08	-17.08	113.42
1980 03 03 12	39744.00	0.00	454.39	0.00	-12.68	-12.68	130.62
1980 03 04 12	40039.14	0.28	430.67	0.00	-7.89	-7.89	234.17
1980 03 05 12	40089.60	1.75	190.39	0.00	-4.45	-4.45	345.53
1980 03 06 12	40435.20	2.53	345.42	0.00	-2.02	-2.02	429.94
1980 03 07 12	40435.20	1.42	210.91	0.00	-4.94	-4.94	334.22
1980 03 08 12	40780.80	10.51	160.88	0.00	-2.27	-2.27	455.69
1980 03 09 12	40780.80	4.36	278.77	0.00	-1.73	-1.73	479.07
1980 03 10 12	41126.40	0.02	366.52	0.00	-3.25	-3.25	375.46
1980 03 11 12	41126.40	14.67	195.55	0.00	-1.37	-1.37	486.42
1980 03 12 12	41472.00	0.47	334.25	0.00	-13.99	-13.99	142.77
1980 03 13 12	41808.39	0.00	485.91	0.00	-12.93	-12.93	163.34
1980 03 14 12	41817.60	17.77	162.48	0.00	-5.31	-5.31	369.55
1980 03 15 12	42163.20	0.95	203.20	0.00	-6.64	-6.64	306.81
1980 03 16 12	42163.20	0.16	469.04	0.00	-13.48	-13.48	161.24
1980 03 17 12	42508.80	0.85	225.08	0.00	-5.75	-5.75	291.83
1980 03 18 12	42508.80	27.05	177.92	0.00	1.59	1.59	628.83
1980 03 19 12	42854.40	0.00	439.19	0.00	-5.92	-5.92	262.79
1980 03 20 12	42854.40	0.00	278.58	0.00	-3.49	-3.49	339.59
1980 03 21 12	43200.00	0.01	452.84	0.00	-0.46	-0.46	484.74
1980 03 22 12	43545.60	0.05	473.02	0.00	-0.04	-0.04	483.87
1980 03 23 12	43545.60	0.00	384.45	0.00	1.11	1.11	535.18
1980 03 24 12	43891.20	0.00	481.82	0.00	0.38	0.38	500.68
1980 03 25 12	43891.20	0.11	280.69	0.00	0.97	0.97	528.33
1980 03 26 12	44236.80	1.01	256.51	0.00	1.14	1.14	531.12
1980 03 27 12	44236.80	0.03	296.78	0.00	1.13	1.13	521.43
1980 03 28 12	44582.40	0.00	295.46	0.00	2.04	2.04	534.99
1980 03 29 12	44591.61	0.41	215.10	0.00	4.11	4.11	593.35
1980 03 30 12	44928.00	4.42	167.50	0.00	3.37	3.37	666.24
1980 03 31 12	45273.60	0.00	494.93	0.00	1.57	1.57	423.12
1980 04 01 12	45273.60	0.00	518.38	0.00	2.41	2.41	385.88
1980 04 02 12	45619.20	0.00	449.68	0.00	4.61	4.61	396.35
1980 04 03 12	45619.20	0.00	492.61	0.00	4.07	4.07	454.40
1980 04 04 12	45964.80	9.41	233.87	0.00	3.99	3.99	543.70
1980 04 05 12	45964.80	2.12	268.24	0.00	3.23	3.23	647.01
1980 04 06 12	46310.40	0.00	519.75	0.00	1.18	1.18	412.02
1980 04 07 12	46319.61	0.00	514.98	0.00	1.00	1.00	331.48
1980 04 08 12	46656.00	0.29	425.54	0.00	2.72	2.72	588.75
1980 04 09 12	46968.50	1.39	273.67	0.00	5.75	5.75	782.05
1980 04 10 12	47001.60	36.20	167.10	0.00	4.45	4.45	763.04
1980 04 11 12	47347.20	6.77	334.62	0.00	6.89	6.89	810.86
1980 04 12 12	47347.20	2.27	358.13	0.00	6.54	6.54	709.29
1980 04 13 12	47692.80	3.11	419.30	0.00	7.64	7.64	777.39
1980 04 14 12	47692.80	0.02	432.37	0.00	5.24	5.24	619.84
1980 04 15 12	48038.40	14.15	274.86	0.00	7.40	7.40	917.40
1980 04 16 12	48038.40	0.94	162.97	0.00	5.39	5.39	675.18
1980 04 17 12	48384.00	0.00	557.43	0.00	-0.85	-0.85	317.49
1980 04 18 12	48384.64	0.00	229.95	0.00	1.66	1.66	394.45
1980 04 19 12	48729.60	0.00	553.61	0.00	4.03	4.03	501.74
1980 04 20 12	48738.81	0.67	455.97	0.00	7.77	7.77	579.09
1980 04 21 12	49075.20	4.48	331.81	0.00	6.83	6.83	698.77
1980 04 22 12	49125.66	0.53	169.85	0.00	-0.14	-0.14	420.41
1980 04 23 12	49420.80	9.14	202.61	0.00	3.97	3.97	718.75
1980 04 24 12	49538.06	1.88	513.60	0.00	7.29	7.29	800.17
1980 04 25 12	49766.40	0.89	372.41	0.00	10.41	10.41	926.13
1980 04 26 12	49883.66	6.48	121.70	0.00	8.23	8.23	955.01
1980 04 27 12	50112.00	2.78	178.50	0.00	8.52	8.52	967.28
1980 04 28 12	50229.27	0.35	391.23	0.00	6.37	6.37	760.70
1980 04 29 12	50457.60	8.56	161.15	0.00	3.98	3.98	700.92
1980 04 30 12	50508.06	16.28	502.66	0.00	8.68	8.68	964.75
1980 05 01 12	50803.20	0.00	389.69	0.00	11.37	11.37	1054.80
1980 05 02 12	50812.41	0.85	486.90	0.00	10.47	10.47	828.03
1980 05 03 12	51148.80	0.00	501.83	0.00	11.30	11.30	808.24
1980 05 04 12	51149.44	0.00	409.90	0.00	7.97	7.97	592.72
1980 05 05 12	51494.40	0.00	359.14	0.00	4.97	4.97	539.80
1980 05 06 12	51494.40	0.73	412.08	0.00	9.01	9.01	746.41
1980 05 07 12	51834.92	5.41	332.49	0.00	7.38	7.38	873.05
1980 05 08 12	51840.00	7.26	162.78	0.00	6.68	6.68	895.97
1980 05 09 12	52028.15	1.09	247.68	0.00	7.17	7.17	819.51
1980 05 10 12	52185.60	0.24	251.95	0.00	7.09	7.09	704.14
1980 05 11 12	52236.06	0.11	419.87	0.00	10.16	10.16	847.09
1980 05 12 12	52531.20	0.27	496.38	0.00	13.54	13.54	1110.33
1980 05 13 12	52531.20	0.01	294.52	0.00	13.31	13.31	951.47
1980 05 14 12	52843.69	0.13	269.82	0.00	10.54	10.54	987.59
1980 05 15 12	52876.80	0.93	272.99	0.00	8.49	8.49	749.53
1980 05 16 12	52927.26	0.00	372.47	0.00	10.48	10.48	791.70
1980 05 17 12	53222.40	0.00	523.30	0.00	10.79	10.79	702.87
1980 05 18 12	53222.40	3.26	204.93	0.00	9.02	9.02	842.41
1980 05 19 12	53410.55	4.07	306.37	0.00	12.52	12.52	1211.95
1980 05 20 12	53568.00	0.33	501.43	0.00	14.06	14.06	996.01
1980 05 21 12	53568.00	0.00	518.37	0.00	13.95	13.95	1084.26
1980 05 22 12	53756.15	0.00	515.91	0.00	15.98	15.98	1180.98
1980 05 23 12	53913.60	0.00	489.65	0.00	14.26	14.26	956.38
1980 05 24 12	53913.60	0.00	446.06	0.00	14.51	14.51	985.10
1980 05 25 12	54101.75	0.00	460.69	0.00	12.38	12.38	862.86
1980 05 26 12	54259.20	0.03	192.85	0.00	6.63	6.63	668.51
1980 05 27 12	54259.20	0.03	277.15	0.00	7.27	7.27	728.24
1980 05 28 12	54309.66	0.00	313.87	0.00	7.92	7.92	745.77
1980 05 29 12	54571.69	0.00	340.68	0.00	10.05	10.05	849.24
1980 05 30 12	54604.80	0.00	519.02	0.00	14.13	14.13	957.59
1980 05 31 12	54604.80	2.02	233.81	0.00	13.97	13.97	1247.63
1980 06 01 12	54655.26	0.49	369.50	0.00	17.01	17.01	1549.91
1980 06 02 12	54855.10	5.12	161.72	0.00	13.89	13.89	1364.26
1980 06 03 12	54950.40	4.65	297.80	0.00	13.21	13.21	1387.22
1980 06 04 12	54950.40	1.85	284.23	0.00	13.25	13.25	1279.78
1980 06 05 12	54951.04	0.93	389.82	0.00	12.43	12.43	1015.42
1980 06 06 12	55067.66	0.00	523.99	0.00	14.72	14.72	1023.31
1980 06 07 12	55200.70	1.61	321.32	0.00	14.07	14.07	1200.57
1980 06 08 12	55290.92	2.56	287.13	0.00	14.35	14.35	1446.60
1980 06 09 12	55296.00	0.13	351.72	0.00	5.15	5.15	663.05
1980 06 10 12	55296.00	1.08	352.70	0.00	7.72	7.72	754.86
1980 06 11 12	55296.00	0.00	212.35	0.00	7.23	7.23	756.43
1980 06 12 12	55305.21	0.09	346.29	0.00	8.90	8.90	879.10
1980 06 13 12	55346.46	0.00	520.36	0.00	13.78	13.78	1098.70
1980 06 14 12	55413.27	0.02	517.14	0.00	16.36	16.36	1424.64
1980 06 15 12	55484.15	0.71	434.38	0.00	17.55	17.55	1467.20
1980 06 16 12	55546.30	4.69	424.38	0.00	13.42	13.42	1164.78
1980 06 17 12	55546.30	0.00	286.78	0.00	12.80	12.80	1064.66
1980 06 18 12	55608.50	0.00	400.11	0.00	14.00	14.00	1210.12
1980 06 19 12	55608.50	2.54	403.06	0.00	15.30	15.30	1387.60
1980 06 20 12	55608.50	2.66	324.14	0.00	12.34	12.34	1138.77
1980 06 21 12	55608.50	30.38	190.93	0.00	11.07	11.07	1209.46
1980 06 22 12	55608.50	0.81	461.11	0.00	15.06	15.06	1266.67
1980 06 23 12	55608.50	0.20	494.34	0.00	19.31	19.31	1459.75
1980 06 24 12	55546.30	0.53	380.51	0.00	20.22	20.22	1677.68
1980 06 25 12	55484.15	0.00	501.10	0.00	23.23	23.23	2006.47
1980 06 26 12	55413.27	3.84	421.72	0.00	22.97	22.97	2047.81
1980 06 27 12	55346.46	8.15	321.38	0.00	21.09	21.09	1912.93
1980 06 28 12	55305.21	0.00	527.81	0.00	11.88	11.88	939.68
1980 06 29 12	55296.64	0.13	339.34	0.00	14.10	14.10	1086.20
1980 06 30 12	55296.00	1.92	222.51	0.00	14.02	14.02	1451.50
1980 07 01 12	55296.00	0.77	410.82	0.00	15.39	15.39	1460.88
1980 07 02 12	55296.00	3.92	297.02	0.00	16.87	16.87	1640.80
1980 07 03 12	55262.89	0.64	483.03	0.00	18.21	18.21	1569.38
1980 07 04 12	55138.55	0.45	367.56	0.00	17.72	17.72	1486.31
1980 07 05 12	54959.61	0.17	433.18	0.00	17.70	17.70	1542.19
1980 07 06 12	54950.40	5.57	360.32	0.00	15.88	15.88	1413.86
1980 07 07 12	54950.40	0.97	446.72	0.00	12.58	12.58	1001.31
1980 07 08 12	54945.32	3.41	213.52	0.00	14.89	14.89	1348.64
1980 07 09 12	54792.95	1.69	413.39	0.00	16.09	16.09	1404.58
1980 07 10 12	54614.01	0.00	479.06	0.00	15.04	15.04	1286.90
1980 07 11 12	54604.80	13.99	453.44	0.00	18.18	18.18	1671.22
1980 07 12 12	54604.80	5.97	315.13	0.00	15.05	15.05	1352.71
1980 07 13 12	54447.35	1.88	214.20	0.00	12.15	12.15	1194.20
1980 07 14 12	54259.84	0.94	395.05	0.00	17.54	17.54	1575.69
1980 07 15 12	54259.20	0.24	211.04	0.00	20.20	20.20	1927.01
1980 07 16 12	54226.09	3.51	261.81	0.00	22.70	22.70	2240.51
1980 07 17 12	53922.81	5.65	322.30	0.00	22.19	22.19	2148.92
1980 07 18 12	53913.60	0.51	427.37	0.00	20.36	20.36	1731.69
1980 07 19 12	53908.52	0.00	341.43	0.00	20.52	20.52	1707.62
1980 07 20 12	53618.46	0.51	367.97	0.00	22.53	22.53	2065.82
1980 07 21 12	53568.00	5.05	218.53	0.00	21.15	21.15	2008.49
1980 07 22 12	53562.92	11.05	192.08	0.00	20.28	20.28	2031.97
1980 07 23 12	53231.61	14.67	285.77	0.00	18.88	18.88	1830.49
1980 07 24 12	53222.40	1.78	291.90	0.00	18.28	18.28	1621.73
1980 07 25 12	53127.10	0.00	454.01	0.00	19.85	19.85	1625.10
1980 07 26 12	52876.80	0.04	350.38	0.00	20.92	20.92	1874.63
1980 07 27 12	52876.80	12.77	266.59	0.00	20.72	20.72	1982.17
1980 07 28 12	52581.66	7.48	454.28	0.00	20.32	20.32	1962.06
1980 07 29 12	52531.20	5.28	176.14	0.00	17.64	17.64	1829.67
1980 07 30 12	52498.09	13.86	331.99	0.00	19.78	19.78	2000.27
1980 07 31 12	52185.60	5.74	404.49	0.00	20.00	20.00	1749.26
1980 08 01 12	52185.60	1.49	487.16	0.00	20.05	20.05	1814.62
1980 08 02 12	51840.64	2.36	430.53	0.00	21.56	21.56	2037.34
1980 08 03 12	51840.00	0.81	250.02	0.00	21.36	21.36	2074.77
1980 08 04 12	51611.66	0.18	250.33	0.00	20.51	20.51	1948.12
1980 08 05 12	51494.40	0.09	482.31	0.00	21.42	21.42	1861.63
1980 08 06 12	51399.10	2.77	355.01	0.00	21.78	21.78	2138.16
1980 08 07 12	51148.80	0.11	435.57	0.00	22.94	22.94	2129.81
1980 08 08 12	51115.69	1.72	434.67	0.00	21.76	21.76	1918.14
1980 08 09 12	50803.20	21.08	327.75	0.00	21.67	21.67	2024.06
1980 08 10 12	50798.12	0.00	420.98	0.00	14.76	14.76	1210.76
1980 08 11 12	50457.60	2.87	244.48	0.00	13.85	13.85	1330.84
1980 08 12 12	50457.60	12.84	179.02	0.00	14.08	14.08	1488.64
1980 08 13 12	50112.00	2.78	376.66	0.00	16.61	16.61	1533.75
1980 08 14 12	50112.00	0.01	230.79	0.00	15.33	15.33	1399.41
1980 08 15 12	49766.40	0.35	369.42	0.00	17.18	17.18	1604.01
1980 08 16 12	49766.40	0.38	286.20	0.00	14.26	14.26	1224.35
1980 08 17 12	49420.80	0.05	480.06	0.00	15.02	15.02	1138.77
1980 08 18 12	49420.80	0.00	459.52	0.00	16.77	16.77	1325.12
1980 08 19 12	49075.20	5.51	133.12	0.00	14.69	14.69	1416.63
1980 08 20 12	49075.20	2.79	164.50	0.00	14.50	14.50	1499.78
1980 08 21 12	48729.60	0.00	476.15	0.00	15.13	15.13	1367.76
1980 08 22 12	48729.60	0.00	465.84	0.00	16.17	16.17	1407.50
1980 08 23 12	48384.00	0.00	479.30	0.00	18.71	18.71	1461.00
1980 08 24 12	48378.92	0.00	463.80	0.00	20.20	20.20	1695.51
1980 08 25 12	48038.40	0.01	300.17	0.00	19.83	19.83	1649.98
1980 08 26 12	47880.95	0.76	356.51	0.00	20.61	20.61	1805.27
1980 08 27 12	47692.80	0.28	277.73	0.00	20.47	20.47	1904.77
