  44.82
 133.00
 587675987
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31185.94	0.00	247.36	0.00	-5.69	-5.69	257.60
1980 01 02 12	31302.07	0.00	209.59	0.00	-3.05	-3.05	310.93
1980 01 03 12	31370.89	0.00	219.97	0.00	-6.52	-6.52	188.85
1980 01 04 12	31449.60	0.00	254.76	0.00	-9.97	-9.97	123.76
1980 01 05 12	31449.60	0.00	224.83	0.00	-9.38	-9.38	137.74
1980 01 06 12	31449.60	1.13	244.04	0.00	-11.91	-11.91	144.01
1980 01 07 12	31596.25	0.74	129.50	0.00	-6.21	-6.21	354.61
1980 01 08 12	31716.49	0.44	168.40	0.00	-0.61	-0.61	402.82
1980 01 09 12	31795.20	0.00	213.61	0.00	-3.51	-3.51	199.14
1980 01 10 12	31795.20	0.34	161.68	0.00	-7.61	-7.61	142.45
1980 01 11 12	31805.08	0.52	99.15	0.00	-4.36	-4.36	343.72
1980 01 12 12	32025.19	20.70	145.66	0.00	3.96	3.96	727.55
1980 01 13 12	32140.80	0.00	229.89	0.00	-7.58	-7.58	109.37
1980 01 14 12	32140.80	0.00	212.91	0.00	-0.33	-0.33	445.17
1980 01 15 12	32287.45	0.00	111.44	0.00	3.28	3.28	712.21
1980 01 16 12	32464.00	0.00	265.35	0.00	-2.79	-2.79	298.24
1980 01 17 12	32486.40	0.00	108.37	0.00	-4.77	-4.77	329.83
1980 01 18 12	32496.28	2.46	82.50	0.00	-0.15	-0.15	558.99
1980 01 19 12	32809.60	0.00	128.47	0.00	1.52	1.52	624.85
1980 01 20 12	32832.00	0.00	215.40	0.00	-1.07	-1.07	405.49
1980 01 21 12	32841.88	0.00	140.79	0.00	-9.73	-9.73	110.40
1980 01 22 12	33155.20	0.12	257.27	0.00	-10.14	-10.14	116.24
1980 01 23 12	33177.60	6.31	135.67	0.00	-2.11	-2.11	490.80
1980 01 24 12	33324.25	0.19	218.40	0.00	-7.82	-7.82	279.40
1980 01 25 12	33523.20	0.02	253.16	0.00	-14.09	-14.09	139.76
1980 01 26 12	33523.20	0.00	285.94	0.00	-10.83	-10.83	186.47
1980 01 27 12	33753.19	0.00	301.88	0.00	-7.18	-7.18	243.80
