  44.98
 613.00
 913874993
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31104.00	0.00	235.62	0.00	-8.24	-8.24	193.82
1980 01 02 12	31109.08	0.00	230.79	0.00	-6.94	-6.94	207.47
1980 01 03 12	31199.30	0.00	243.55	0.00	-8.46	-8.46	171.31
1980 01 04 12	31332.34	0.00	210.76	0.00	-12.00	-12.00	137.40
1980 01 05 12	31448.96	0.00	238.35	0.00	-13.26	-13.26	119.96
1980 01 06 12	31449.60	0.00	246.46	0.00	-13.60	-13.60	109.59
1980 01 07 12	31449.60	2.63	197.05	0.00	-13.55	-13.55	124.01
1980 01 08 12	31544.90	0.69	245.48	0.00	-6.97	-6.97	203.85
1980 01 09 12	31744.74	0.00	242.86	0.00	-8.64	-8.64	168.19
1980 01 10 12	31795.20	0.00	256.41	0.00	-12.49	-12.49	116.93
1980 01 11 12	31795.20	12.11	203.74	0.00	-12.84	-12.84	130.59
1980 01 12 12	31828.31	4.06	224.45	0.00	-4.18	-4.18	207.23
1980 01 13 12	32090.34	0.24	265.00	0.00	-6.19	-6.19	178.66
1980 01 14 12	32140.80	4.11	185.84	0.00	-8.81	-8.81	201.00
1980 01 15 12	32140.80	1.33	189.91	0.00	-3.44	-3.44	317.81
1980 01 16 12	32298.25	0.06	269.85	0.00	-4.74	-4.74	243.67
1980 01 17 12	32486.40	0.40	211.14	0.00	-7.35	-7.35	198.36
1980 01 18 12	32486.40	0.17	204.18	0.00	-7.36	-7.36	237.55
1980 01 19 12	32643.85	0.02	180.73	0.00	-2.15	-2.15	377.85
1980 01 20 12	32832.00	0.01	223.22	0.00	-1.95	-1.95	348.53
1980 01 21 12	32832.00	0.00	262.18	0.00	-7.34	-7.34	206.61
1980 01 22 12	32989.45	4.53	198.04	0.00	-13.30	-13.30	131.74
1980 01 23 12	33177.60	1.48	212.04	0.00	-12.32	-12.32	140.82
1980 01 24 12	33177.60	0.08	288.69	0.00	-11.01	-11.01	136.61
1980 01 25 12	33472.74	0.00	215.67	0.00	-16.81	-16.81	96.94
1980 01 26 12	33523.20	0.00	257.65	0.00	-15.29	-15.29	114.31
1980 01 27 12	33556.31	0.00	256.25	0.00	-12.80	-12.80	142.08
1980 01 28 12	33868.80	0.00	283.91	0.00	-9.13	-9.13	175.75
1980 01 29 12	33868.80	0.00	292.34	0.00	-9.44	-9.44	157.07
1980 01 30 12	34163.94	0.00	284.90	0.00	-13.56	-13.56	112.46
1980 01 31 12	34214.40	0.00	259.93	0.00	-16.28	-16.28	96.53
1980 02 01 12	34309.70	0.00	287.25	0.00	-15.74	-15.74	100.08
1980 02 02 12	34560.00	0.00	280.17	0.00	-14.37	-14.37	109.63
1980 02 03 12	34565.08	0.00	250.75	0.00	-15.74	-15.74	104.21
1980 02 04 12	34905.60	0.00	294.02	0.00	-14.61	-14.61	111.98
1980 02 05 12	34905.60	0.00	322.05	0.00	-11.74	-11.74	126.95
1980 02 06 12	35250.56	0.00	319.05	0.00	-12.02	-12.02	123.95
1980 02 07 12	35251.20	0.00	340.81	0.00	-10.55	-10.55	129.85
1980 02 08 12	35587.59	0.00	324.66	0.00	-9.94	-9.94	142.22
1980 02 09 12	35596.80	0.00	344.81	0.00	-9.90	-9.90	131.73
1980 02 10 12	35891.94	0.00	353.98	0.00	-11.20	-11.20	105.56
1980 02 11 12	35942.40	0.04	317.27	0.00	-12.18	-12.18	102.73
1980 02 12 12	36170.73	0.03	331.10	0.00	-10.96	-10.96	125.86
1980 02 13 12	36288.00	0.00	326.38	0.00	-7.34	-7.34	183.90
1980 02 14 12	36516.34	0.01	307.89	0.00	-8.60	-8.60	176.10
1980 02 15 12	36633.60	0.41	284.31	0.00	-7.91	-7.91	181.94
1980 02 16 12	36861.94	8.76	244.40	0.00	-8.74	-8.74	176.68
1980 02 17 12	36979.20	2.32	273.30	0.00	-11.98	-11.98	138.76
1980 02 18 12	37274.34	0.01	336.29	0.00	-14.02	-14.02	113.80
1980 02 19 12	37324.80	0.00	382.17	0.00	-11.34	-11.34	125.52
1980 02 20 12	37661.19	0.00	387.15	0.00	-7.02	-7.02	191.11
1980 02 21 12	37670.40	0.00	352.26	0.00	0.45	0.45	325.84
1980 02 22 12	38015.36	7.06	313.93	0.00	-7.31	-7.31	151.71
1980 02 23 12	38016.00	2.04	327.21	0.00	-11.90	-11.90	122.15
1980 02 24 12	38361.60	0.91	305.33	0.00	-8.07	-8.07	171.46
1980 02 25 12	38361.60	0.23	357.84	0.00	-7.55	-7.55	172.70
1980 02 26 12	38707.20	0.00	413.97	0.00	-9.44	-9.44	120.64
1980 02 27 12	38707.20	0.98	311.34	0.00	-15.01	-15.01	84.03
1980 02 28 12	39052.80	1.01	291.80	0.00	-15.44	-15.44	88.16
