  45.06
 318.00
 771486538
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	31101.64	0.00	227.29	0.00	-8.10	-8.10	207.95
1980 01 02 12	31104.00	0.00	230.56	0.00	-6.55	-6.55	224.89
1980 01 03 12	31104.00	0.00	240.28	0.00	-8.16	-8.16	182.43
1980 01 04 12	31104.00	0.00	220.41	0.00	-12.60	-12.60	134.87
1980 01 05 12	31253.93	0.00	236.41	0.00	-12.82	-12.82	128.31
1980 01 06 12	31413.66	0.00	242.17	0.00	-13.91	-13.91	112.35
1980 01 07 12	31449.60	3.41	187.84	0.00	-13.61	-13.61	131.93
1980 01 08 12	31449.60	0.90	248.35	0.00	-7.16	-7.16	205.54
1980 01 09 12	31454.02	0.00	243.86	0.00	-8.25	-8.25	177.18
1980 01 10 12	31671.73	0.00	250.30	0.00	-12.33	-12.33	128.61
1980 01 11 12	31795.20	13.96	194.37	0.00	-12.02	-12.02	156.38
1980 01 12 12	31795.20	4.98	234.15	0.00	-3.03	-3.03	244.97
1980 01 13 12	31799.62	0.61	240.58	0.00	-5.63	-5.63	206.30
1980 01 14 12	32065.22	3.02	184.51	0.00	-8.14	-8.14	226.22
1980 01 15 12	32140.80	1.18	184.82	0.00	-2.99	-2.99	345.34
1980 01 16 12	32140.80	0.11	272.38	0.00	-4.99	-4.99	246.59
1980 01 17 12	32362.93	0.26	214.78	0.00	-6.14	-6.14	220.03
1980 01 18 12	32486.40	0.14	205.11	0.00	-6.57	-6.57	259.34
1980 01 19 12	32486.40	0.02	170.08	0.00	-1.85	-1.85	412.48
1980 01 20 12	32708.53	0.01	210.08	0.00	-1.37	-1.37	387.32
1980 01 21 12	32832.00	0.00	276.92	0.00	-8.21	-8.21	193.77
1980 01 22 12	32832.00	4.57	210.99	0.00	-12.03	-12.03	142.66
1980 01 23 12	33102.02	3.66	215.31	0.00	-10.95	-10.95	157.80
1980 01 24 12	33177.60	0.65	285.19	0.00	-10.98	-10.98	140.83
1980 01 25 12	33182.02	0.00	230.77	0.00	-17.09	-17.09	96.73
1980 01 26 12	33523.20	0.00	269.75	0.00	-14.92	-14.92	118.52
1980 01 27 12	33523.20	0.00	269.21	0.00	-12.10	-12.10	149.36
1980 01 28 12	33745.33	0.00	287.23	0.00	-8.98	-8.98	175.73
1980 01 29 12	33868.80	0.00	299.15	0.00	-9.99	-9.99	147.94
1980 01 30 12	33873.22	0.00	293.02	0.00	-13.26	-13.26	115.09
1980 01 31 12	34214.40	0.00	281.28	0.00	-15.07	-15.07	101.95
1980 02 01 12	34214.40	0.00	297.86	0.00	-16.03	-16.03	94.10
1980 02 02 12	34557.64	0.02	293.26	0.00	-14.38	-14.38	107.57
1980 02 03 12	34560.00	0.00	225.57	0.00	-14.48	-14.48	121.89
